Topic,Subtopic,Item ID,Subtopic ID,Level,Level ID,Band,Node
Introduction to Psychology,What is Psychology? ,101001,S01,Remembering,1,Band1,Node01
Introduction to Psychology,What is Psychology? ,101002,S01,Understanding,2,Band1,Node01
Introduction to Psychology,What is Psychology? ,101003,S01,Understanding,2,Band1,Node01
Introduction to Psychology,What is Psychology? ,101004,S01,Understanding,2,Band1,Node01
Introduction to Psychology,What is Psychology? ,101005,S01,Applying,3,Band1,Node01
Introduction to Psychology,Psychological Perspectives,102001,S02,Remembering,1,Band1,Node02
Introduction to Psychology,Psychological Perspectives,102002,S02,Remembering,1,Band1,Node02
Introduction to Psychology,Psychological Perspectives,102003,S02,Remembering,1,Band1,Node02
Introduction to Psychology,Psychological Perspectives,102004,S02,Understanding,2,Band1,Node02
Introduction to Psychology,Psychological Perspectives,102005,S02,Understanding,2,Band1,Node02
Introduction to Psychology,Psychological Perspectives,102006,S02,Understanding,2,Band1,Node02
Introduction to Psychology,Psychological Perspectives,102007,S02,Understanding,2,Band1,Node02
Introduction to Psychology,Psychological Perspectives,102008,S02,Applying,3,Band1,Node02
Introduction to Psychology,Psychological Perspectives,102009,S02,Applying,3,Band1,Node02
Psychological Research,Science of Psychology,203001,S03,Remembering,1,Band2,Node03
Psychological Research,Science of Psychology,203002,S03,Remembering,1,Band2,Node03
Psychological Research,Science of Psychology,203003,S03,Remembering,1,Band2,Node03
Psychological Research,Science of Psychology,203004,S03,Understanding,2,Band2,Node03
Psychological Research,Science of Psychology,203005,S03,Understanding,2,Band2,Node03
Psychological Research,Science of Psychology,203006,S03,Understanding,2,Band2,Node03
Psychological Research,Science of Psychology,203007,S03,Applying,3,Band2,Node03
Psychological Research,Science of Psychology,203008,S03,Applying,3,Band2,Node03
Psychological Research,Science of Psychology,203009,S03,Remembering,1,Band2,Node03
Psychological Research,Experimental Method,204001,S04,Remembering,1,Band2,Node04
Psychological Research,Experimental Method,204002,S04,Remembering,1,Band2,Node04
Psychological Research,Experimental Method,204003,S04,Remembering,1,Band2,Node04
Psychological Research,Experimental Method,204004,S04,Understanding,2,Band2,Node04
Psychological Research,Experimental Method,204005,S04,Understanding,2,Band2,Node04
Psychological Research,Experimental Method,204006,S04,Understanding,2,Band2,Node04
Psychological Research,Experimental Method,204007,S04,Understanding,2,Band2,Node04
Psychological Research,Experimental Method,204008,S04,Understanding,2,Band2,Node04
Psychological Research,Experimental Method,204009,S04,Applying,3,Band2,Node04
Psychological Research,Experimental Method,204010,S04,Applying,3,Band2,Node04
Psychological Research,Experimental Method,204011,S04,Applying,3,Band2,Node04
Psychological Research,Research Ethics,205001,S05,Remembering,1,Band2,Node05
Psychological Research,Research Ethics,205002,S05,Remembering,1,Band2,Node05
Psychological Research,Research Ethics,205003,S05,Remembering,1,Band2,Node05
Psychological Research,Research Ethics,205004,S05,Understanding,2,Band2,Node05
Psychological Research,Research Ethics,205005,S05,Understanding,2,Band2,Node05
Psychological Research,Research Ethics,205006,S05,Applying,3,Band2,Node05
Psychological Research,APA Referencing ,206001,S06,Remembering,1,Band2,Node06
Psychological Research,APA Referencing ,206002,S06,Remembering,1,Band2,Node06
Psychological Research,APA Referencing ,206003,S06,Remembering,1,Band2,Node06
Psychological Research,APA Referencing ,206004,S06,Remembering,1,Band2,Node06
Psychological Research,APA Referencing ,206005,S06,Understanding,2,Band2,Node06
Psychological Research,APA Referencing ,206006,S06,Understanding,2,Band2,Node06
Psychological Research,APA Referencing ,206007,S06,Understanding,2,Band2,Node06
Psychological Research,APA Referencing ,206008,S06,Applying,3,Band2,Node06
Psychological Research,APA Referencing ,206009,S06,Applying,3,Band2,Node06
Psychological Research,APA Referencing ,206010,S06,Applying,3,Band2,Node06
Psychological Research,APA Referencing ,206011,S06,Applying,3,Band2,Node06
Psychological Research,APA Referencing ,206012,S06,Applying,3,Band2,Node06
Biological Bases,Neurons and Neurotransmitters ,307001,S07,Remembering,1,Band3,Node07
Biological Bases,Neurons and Neurotransmitters ,307002,S07,Remembering,1,Band3,Node07
Biological Bases,Neurons and Neurotransmitters ,307003,S07,Remembering,1,Band3,Node07
Biological Bases,Neurons and Neurotransmitters ,307004,S07,Understanding,2,Band3,Node07
Biological Bases,Neurons and Neurotransmitters ,307005,S07,Understanding,2,Band3,Node07
Biological Bases,Neurons and Neurotransmitters ,307006,S07,Understanding,2,Band3,Node07
Biological Bases,Neurons and Neurotransmitters ,307007,S07,Understanding,2,Band3,Node07
Biological Bases,Neurons and Neurotransmitters ,307008,S07,Applying,3,Band3,Node07
Biological Bases,Neurons and Neurotransmitters ,307009,S07,Applying,3,Band3,Node07
Biological Bases,Nervous System,308001,S08,Remembering,1,Band3,Node08
Biological Bases,Nervous System,308002,S08,Remembering,1,Band3,Node08
Biological Bases,Nervous System,308003,S08,Remembering,1,Band3,Node08
Biological Bases,Nervous System,308004,S08,Understanding,2,Band3,Node08
Biological Bases,Nervous System,308005,S08,Understanding,2,Band3,Node08
Biological Bases,Nervous System,308006,S08,Understanding,2,Band3,Node08
Biological Bases,Nervous System,308007,S08,Understanding,2,Band3,Node08
